*Template - reference and use as needed,,,FY2006 Energy Usages,,,
Building Code,Address,Property Type,E,G,O,Building Gross Footage
581,2 Cummington Mall,Research,1486320.00,42183.00,0.00,59825.75
582,30-38 Cummington Street,Research,1309308.00,43468.00,5531.00,36466.44
587,42-44 Cummington Street,Research,3800070.00,106247.00,0.00,101335.67
595,3-5 Cummington Street (616-620 Comm. Ave.),Research,3957840.00,139459.00,0.00,152457.33
597,631-639 Commonwealth Avenue,Research,1588680.00,39331.00,190.40,100339.72
605,111 Cummington Street (664-666 Comm. Ave),Research,3290340.00,1471.00,0.00,92270.64
643,20-28 Cummington Street (24 Cummington St),Research,10906560.00,295343.00,63683.90,191654.13
647,582-596 Commonwealth Avenue (590 Comm / 712 Bea),Research,9402240.00,10367.00,185340.10,287433.03
649,677 Beacon Street,Research,832200.00,12289.00,0.00,26259.98
650,48-52 Cummington Mall,Research,406000.00,0.00,9075.70,17089.16
761,6-8 St. Mary's Street,Research,11651900.00,365552.00,70872.30,286718.38
