Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported,Covered by 5 Year Energy Action and Assessment Required in 2019,5 Year Energy Action and Assessment Compliance Status
#2665 - West Roxbury,Compliant,Retail Store,1213 VFW Parkway,02132,123596,86.8,51,,Retail Store,1994,696.5,5.6,10733299,0.497100874,0.460181916,,5.52,,,,2009216400,"2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - ASHRAE II Energy Audit
#2679 - South Bay,Compliant,Retail Store,5 Allstate Road,02125,130520,69.6,71,,Retail Store,1998,590.3,4.5,9085993,0.499979901,0.457055503,,5.99,,,, 0703501080,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - ASHRAE II Energy Audit
00602-prudential,Compliant,Supermarket/Grocery Store,53 Huntington Ave,02199,42918,251.9,66,,Supermarket/Grocery Store,2003,1019.8,17.1,14993662.6,0.62884134,0.317120655,,0,,,,0401037400,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
045-Holiday Inn Express - South Boston,Compliant,Hotel,69 R. Boston Street,02125,58051,117.6,41,,Hotel,2010,438.1,7.5,6826951.3,0.466405912,0.493514565,,104.06,,,,703436000,"2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - ASHRAE II Energy Audit
046-Courtyard - Boston,Compliant,Hotel,63 R. Boston Street,02125,99213,67.4,78,,Hotel,2010,446.4,4.5,6688001.1,0.575308092,0.375254125,,43.64,,,,703436001,"2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
"06630-Boston, MA (Prudential Center)",Compliant,Retail Store,786 Boylston Street,02199,110000,107.1,17,,Retail Store,2000,865.1,7.9,11782260.4,0.758576333,0.00038193,0.175855246,14.9,,This site is part of a larger parcel,,0401037100,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
0733-Brighton - N. Beacon St.,Compliant,Self-Storage Facility,235 N. Beacon Street,02135,27441,4.8,,,Self-Storage Facility,2009,9.9,0.4,131577,0.920867218,,,0.73,,,,2202708000,"2017, 2018, 2019, ",No,
1 Milk,Compliant,Office,322 328 Washington St,02108,44464,76.2,85,,"Office, Retail Store",1899,184.5,4.1,3387295.9,0.056545587,0.938595267,,1.13,,"5/1/2018: property owners refer to this property as 1 Milk street, but in the Tax assessors data base, it is labeled as 322 328 Washington St. 02108",,304637010,"2016, 2017, 2018, 2019, ",No,
1 Palace Rd-collegeUniversity,Compliant,College/University,1 Palace Rd,02115,110327,133.6,,,College/University,1995,1104.7,10,14740963.2,0.920867422,,,Not Available,,,,0401836000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
10 Buick Street,Compliant,Residence Hall/Dormitory,10 Buick Street,02215,384971,137.6,14,,Residence Hall/Dormitory,2000,3310.5,8.6,52982353.7,0.395322482,0.570706405,,51.21,,,,2100401000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
