Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water ,% District Chilled Water,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported,Covered by 5 Year Energy Action and Assessment Required in 2020,5 Year Energy Action and Assessment Compliance Status
(71031A) BOSTON,Compliant,Retail Store,450 WASHINGTON STREET,2111,389183,14.8,100,,Retail Store,1975,404.8,1,5771701.5,1,,,,,,Not Available,,,,304540000,"2020,",No,
0004-Roslindale,Compliant,Supermarket/Grocery Store,950 American Legion Highway,2131,38160,237.7,43,,Supermarket/Grocery Store,2010,596.6,15.6,9071832.6,0.579682368,0.420317632,,,,,Not Available,,,,1807323050,"2017, 2018, 2020,",No,
00602-prudential,Compliant,Supermarket/Grocery Store,53 Huntington Ave,2199,42918,251.5,66,,Supermarket/Grocery Store,2003,1016.1,17.1,14970545.6,0.676437965,0.323562035,,,,,3.06,,,,401037400,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
0089-Allston,Compliant,Supermarket/Grocery Store,60 Everett Street,2134,73613,218.3,53,,Supermarket/Grocery Store,1998,1050.4,14.3,16069556.7,0.561501681,0.438498319,,,,,Not Available,,,,2201870000,"2017, 2018, 2020,",No,
0413-Hyde Park,Compliant,Supermarket/Grocery Store,1025 Truman Highway,2136,38890,206.7,60,,Supermarket/Grocery Store,2012,523.2,13.5,8038633.4,0.548526519,0.451473481,,,,,Not Available,,,,1400641010,"2016, 2017, 2018, 2019, 2020,",No,
045-HIESB,Compliant,Hotel,69 R. Boston Street,2125,58051,127.1,30,,Hotel,2010,474.7,8.2,7381013.9,0.512980175,0.487019812,,,,,115.38,,,,703436000,"2015, 2016, 2017, 2018, 2019, 2020,",No,
046-CYMSB,Compliant,Hotel,63 R. Boston Street,2125,99213,62.7,83,,Hotel,2010,414.8,4.2,6216201.1,0.623853852,0.376146132,,,,,40.6,,,,703436001,"2017, 2018, 2019, 2020,",No,
"06630-Boston, MA (Prudential Center)",Compliant,Retail Store,786 Boylston Street,2199,110000,103.4,20,,Retail Store,2000,833.8,7.6,11377606.7,0.807141655,0.000360357,0.192497988,,,,14.4,,This site is part of a larger parcel,,401037100,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
0733-Brighton - N. Beacon St.,Compliant,Self-Storage Facility,235 N. Beacon Street,2135,27441,4.5,,,Self-Storage Facility,2009,9.3,0.3,123507.6,1,,,,,,0.73,,,,2202708000,"2017, 2018, 2019, 2020,",No,
07579-Hyde Park,Compliant,Supermarket/Grocery Store,1377 Hyde Park Avenue,2136,53642,311.4,45,,Supermarket/Grocery Store,1999,1041.5,19.4,16706012.1,0.542326442,0.457673558,,,,,11.91,,,,1809288000,"2014, 2016, 2017, 2018, 2020,",No,
07604-Dorchester Burger,Compliant,Supermarket/Grocery Store,4 River Street,2122,44191,334.2,34,,Supermarket/Grocery Store,2003,940.6,21.3,14766647.8,0.621803142,0.378196865,,,,,14.23,,,,1704050000,"2016, 2017, 2018, 2020,",No,
1 Bulfinch Place,Compliant,Office,1 Bulfinch Place,2114,89216,76.6,42,,"Fitness Center/Health Club/Gym, Office",1971,487.2,5.5,6837004.8,0.83164859,0.16835141,,,,,17.43,,Electricity data is uploaded from aggregate report provided by the utility.  Gas and water data obtained from utility bills provided by the property.,,302624000,"2017, 2018, 2020,",No,
1 Constitution Wharf,Compliant,Office,1 Constitution Wharf,2129,133682,52.9,74,,Office,1985,510.4,3.8,7075376.6,0.871724157,0.128275857,,,,,13.5,,,,203594000,"2020,",No,
1 Guest,Submitted With Possible Data Errors,Other - Education,1 Guest St,2135,126300,Not Available,,,Other - Education,2007,Not Available,Not Available,Not Available,,,,,,,Not Available,,,,2201909010,"2015, 2016, 2018, 2020,",No,
1 Milk,Compliant,Office,322 328 Washington St,2108,44464,7.7,100,,"Office, Retail Store",1899,23,0.5,343706.3,0.638063079,0.361936921,,,,,9.1,,"5/11/2019 - property under some development in 2019

5/1/2018: property owners refer to this property as 1 Milk street, but in the Tax assessors data base, it is labeled as 322 328 Washington St. 02108",,304637010,"2016, 2017, 2018, 2019, 2020,",No,
1 Palace Rd-collegeUniversity,Compliant,College/University,1 Palace Rd,2115,110327,116,,,College/University,1995,958.9,8.7,12795569.5,1,,,,,,Not Available,,,,401844000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
1 Winthrop Square,Compliant,Office,1 Winthrop Square,2110,130000,54.6,84,,Office,1873,467.9,3.6,7101434.3,0.585275513,0.414724487,,,,,4.52,,,,304618000,"2014, 2015, 2016, 2017, 2018, 2020,",No,
10 Buick Street,Compliant,Residence Hall/Dormitory,10 Buick Street,2215,384971,133.5,14,,Residence Hall/Dormitory,2000,3191,8.3,51375961.6,0.412252698,0.587747302,,,,,49.84,,,,2100401000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
10 City Square,Compliant,Office,10 City Square,2129,44000,106.9,24,,"Office, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant",1878,303.7,6.9,4703569,0.524429428,0.475570593,,,,,28.94,,"The Appalachian Mountain Club purchased the building in December of 2016, moving its headquarters to the building in September of 2017. Significant construction and renovations occurred throughout 2017.

The number of workers and computers are estimates for 2019.",,203627000,"2018, 2019, 2020,",No,
10 Coventry Street,Compliant,College/University,10 Coventry Street,2115,69739,39.6,,,College/University,2004,177.3,2.5,2762237.2,0.507971292,0.492028708,,,,,Not Available,,,,901381010,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
10 Guest St,Submitted With Possible Data Errors,Other - Education,10 Guest St,2135,199600,Not Available,,,Other - Education,2000,Not Available,Not Available,Not Available,,,,,,,Not Available,,,,2201906010,"2015, 2016, 2017, 2018, 2019, 2020,",No,
10 High St,Submitted With Possible Data Errors,Office,155 Federal St,2110,116823,Not Available,,,Office,1914,Not Available,Not Available,Not Available,,,,,,,5.96,,,,304211000,"2014, 2017, 2018, 2019, 2020,",No,
10 PO Square,Compliant,Office,10 Post Office Square,2109,451947,65.6,76,"2019, 2018",Office,1920,1982.9,4.4,29651033.8,0.630559937,0.369440067,,,,,12.76,,0303880000; 0303879000;  0303878000,,"303878000, 303878010, 303879000, 303880000","2014, 2015, 2016, 2018, 2019, 2020,",No,
10 Tremont Street,Compliant,Office,10 Tremont Street,2108,38000,55.4,96,,Office,1900,154.7,4.1,2104196,,,,1,,,9.91,,,,302854000,"2016, 2017, 2018, 2019, 2020,",No,
10/20 Channel Center,Compliant,Office,10 Channel Center Street,2210,265830,46.8,84,"2019, 2018",Office,1920,933.2,3.5,12453315.1,1,,,,,,Not Available,,,,"602757030, 602757045","2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
100 Arlington,Compliant,Multifamily Housing,100 Arlington Street,2116,203204,47,54,,"Food Sales, Multifamily Housing",1926,673.6,3.3,9552813.3,0.602357737,0.077669486,0.319972767,,,,Not Available,,Parcel ID: 0500805000,,500805000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Compliant - 15% Efficiency Improvement
100 Ashford Street,Compliant,Other - Stadium,100 Ashford Street,2215,96292,100.7,,,Other - Stadium,2002,602.2,6.3,9693182.2,0.412865323,0.587134667,,,,,4.19,,,,2100415000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
100 Bay State Road,Compliant,Office,100 Bay State Road,2215,123678,164.1,,,"Food Service, Office",2012,1287.9,10.4,20298432,0.473444052,0.526555948,,,,,Not Available,,,,504028000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
100 Clarendon Street Garage,Compliant,Other,100 Clarendon Street,2116,843168,17,,,"Bank Branch, Medical Office, Office, Other",1969,990.6,1.2,14307152.6,0.947415323,0.05236831,0.00021636,,,,Not Available,,"This entire property is a garage, with the exception of two retail tenants on Dartmouth Street (Eastern Bank and Harvard Vanguard Medical Associates). The garage office is staffed 24x7 and includes a small office for Avis Rental Car.",,401082001,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
100 East Newton Street (635 Albany) G Building,Compliant,Medical Office,100 East Newton Street,2118,89406,255.1,6,,Medical Office,1969,1564.4,17.5,22805887.7,0.257358849,,0.742641147,,,,70.52,,,,"801295000, 801297000","2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
100 Federal St.,Compliant,Office,100 Federal St.,2110,1497663,73.6,78,"2019, 2018, 2017, 2016, 2015, 2013, 2009","Data Center, Office, Other - Restaurant/Bar, Parking",1970,7811.6,5.2,110201540.2,0.539388519,0.009026191,0.45158529,,,,Not Available,,,,304410000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
