Property Name,Reported,Tax Parcel,Property Type,Address, Zip,"Gross Area (sq ft) 
",Site EUI (kBTU/sf),ENERGY STAR Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link
Piano Row,Reported,500031000,Residence Hall/Dormitory,144/150 Boylston St,2116,199874,81.4,48,,Residence Hall/Dormitory,2006,1101.5,5.5,16261444.5,0.3776,0.53,0.6171,,,,,18.21,Not Available,,
216 Tremont,Reported,304909000,College/University,216 Tremont Street,2116,45388,55.9,,,College/University,1926,173.1,3.8,2537987.7,0.4827,,0.5173,,,,,4.01,Not Available,,
Colonial Theater,Reported,500045000,Performing Arts,98-106 Boylston Streeet,2116,172349,39.6,,,Performing Arts,1900,470,2.7,6832776.1,0.6411,,0.3589,,,,,14.75,Not Available,,
Ansin Building,Reported,304890100,College/University,180 Tremont St,2116,98744,52,,,College/University,1931,359.8,3.6,5136248.8,0.9776,,0.224,,,,,4.23,Not Available,,
80 Boylston St./ The Little Building,Reported,500001001,Residence Hall/Dormitory,80 Boylston Street,2116,216877,84,29,,Residence Hall/Dormitory,1917,1252.3,5.8,18214315.9,0.632,,0.3698,,,,,21.13,Not Available,,
543-547 Washington Street,Reported,304839010,College/University,543-547 Washington Street,2116,146942,104.9,,,College/University,2010,1055.5,7.2,15408359.1,0.5982,0.96,0.3922,,,,,24.03,Not Available,"Temporary values were entered for detailed property use, definitive numbers will be updates as soon as they become available.",
2 Boylston Place,Reported,304908000,Residence Hall/Dormitory,2 Boylston Place,2116,103963,51.8,73,,Residence Hall/Dormitory,2016,370.4,3.6,5385082.1,0.6371,,0.3629,,,,,27.69,Not Available,,
Walker Building,Reported,500043011,College/University,120 Boylston St,2116,176296,77.1,,,College/University,1891,934,5.3,13593093.6,0.6197,,0.383,,,,,12.91,Not Available,,
Morgan Memorial Goodwill Inc,Reported,802375000,Retail Store,1010 Harrison Ave,2119,168000,55.5,88,,"Parking, Retail Store",1986,302.6,3.5,4829208.4,0.567,0.4393,,,,,,2.79,Not Available,,
1960-1980 Commonwealth Ave.,Reported,02469-000,Multifamily Housing,"1960,1970,1980 Commonwealth Ave.",2135,141204,88.6,44,,Multifamily Housing,1937,687.7,4.9,12508221.9,0.195,0.895,,,,,,33.59,Not Available,,
